Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,2,1,87,5.48,0.000%,51.06731,5.44,5.78,109.0
TOTAL,500,2,1,87,5.48,0.000%,51.06731,5.44,5.78,109.0
